matchID,season,battingTeam,bowlingTeam,innings,firstBatter,secondBatter,partnership,totalBallsFaced,fours,sixes,wicket,firstBatterRuns,firstBatterBallsFaced,firstBatterFours,firstBatterSixes,secondBatterRuns,secondBatterBallsFaced,secondBatterFours,secondBatterSixes
6480bb9936b7698da2c2030c,2023,,,1,JO Holder,SO Hetmyer,7,5,1,0,1,0,1,0,0,7,4,1,0
6480bb9936b7698da2c2030c,2023,,,1,JC Buttler,SO Hetmyer,7,8,0,0,1,4,4,0,0,3,4,0,0
6480bba250b404cdcbff22c8,2015,,,1,P Negi,RA Jadeja,7,4,0,0,1,3,3,0,0,2,1,0,0
6480bba136257b71aa9952cf,2014,,,2,DA Miller,WP Saha,7,3,0,1,1,1,1,0,0,6,2,0,1
6480bb957ae1619e0d648dec,2019,,,1,DA Warner,JM Bairstow,7,10,0,0,1,1,4,0,0,1,6,0,0
6480bb9dd89d4266d59a4592,2011,,,1,A Mithun,AB de Villiers,7,4,1,0,0,6,3,1,0,0,1,0,0
6480bba20130c44ed20c9bcf,2016,,,1,PA Patel,RG Sharma,7,9,1,0,1,0,0,0,0,7,9,1,0
6480bb9ccba48a6bb44ccc21,2009,,,2,DJ Bravo,ST Jayasuriya,7,13,1,0,1,5,8,1,0,2,5,0,0
6480bba01893b0faadb9c761,2013,,,1,MG Johnson,SL Malinga,7,4,0,1,0,7,3,0,1,0,1,0,0
6480bba2b5d601f8354f5b5a,2016,,,2,AR Patel,M Vohra,7,12,0,0,1,2,7,0,0,4,5,0,0
6480bba16af3f513920ef499,2015,,,2,MK Pandey,SA Yadav,7,4,1,0,0,5,2,1,0,2,2,0,0
6480bba140ee53a14fe06e0d,2014,,,1,AT Rayudu,KA Pollard,7,3,0,1,1,7,2,0,1,0,1,0,0
6480bb9fc3369c6f5a549d05,2013,,,1,IK Pathan,KM Jadhav,7,12,0,0,1,2,6,0,0,5,6,0,0
6480bb9d5cca30c933d4baf4,2011,,,1,R McLaren,Sunny Singh,7,6,1,0,1,2,3,0,0,5,3,1,0
6480bba01a3f8444c7a33ba6,2014,,,2,F du Plessis,MS Dhoni,7,11,0,0,1,4,6,0,0,3,5,0,0
6480bba38056992b92414bab,2016,,,1,SA Yadav,YK Pathan,7,5,1,0,0,6,3,1,0,1,2,0,0
6480bb94dcc956fa4ca06b92,2018,,,1,BB McCullum,V Kohli,7,10,0,0,1,3,6,0,0,3,4,0,0
6480bb9f02801d2090cdba0d,2012,,,2,KD Karthik,RJ Peterson,7,9,0,0,1,4,5,0,0,3,4,0,0
6480bba0c7bf2b92ac8d836a,2013,,,2,JP Faulkner,SR Watson,7,8,1,0,1,1,4,0,0,6,4,1,0
6480bb9e5ab10d1241d6509d,2012,,,1,CH Gayle,TM Dilshan,7,15,0,0,1,2,7,0,0,4,8,0,0
6480bb9b283b30d0503656f7,2007/08,,,1,G Gambhir,V Sehwag,7,6,1,0,1,7,4,1,0,0,2,0,0
6480bb962831291a868490e7,2020/21,,,1,KD Karthik,N Rana,7,10,0,0,1,3,6,0,0,3,4,0,0
6480bb95fa6394e733c532a9,2018,,,1,MK Pandey,Shakib Al Hasan,7,6,1,0,1,1,2,0,0,6,4,1,0
6480bb984f0f3dc0df6d4531,2022,,,1,DR Sams,TH David,7,4,0,1,1,0,2,0,0,7,2,0,1
6480bba20559f15c3489f637,2015,,,1,LMP Simmons,UBT Chand,7,8,1,0,1,2,4,0,0,5,4,1,0
6480bb9ef7c6084992b7cdf8,2012,,,2,DT Christian,JP Duminy,7,10,0,0,1,3,5,0,0,4,5,0,0
