matchID,season,battingTeam,bowlingTeam,over,ballNo,innings,bowler,playerOut,outType,fieldersInvolved
648026d41f06877f0c983e3a,2017,Kolkata Knight Riders,Sunrisers Hyderabad,19,4,1,B Kumar,C de Grandhomme,bowled,
648026d41f06877f0c983e3a,2017,Sunrisers Hyderabad,Kolkata Knight Riders,6,4,2,YK Pathan,S Dhawan,caught,"[""C de Grandhomme""]"
648026d41f06877f0c983e3a,2017,Sunrisers Hyderabad,Kolkata Knight Riders,9,5,2,Kuldeep Yadav,DA Warner,caught,"[""CR Woakes""]"
648026d41f06877f0c983e3a,2017,Sunrisers Hyderabad,Kolkata Knight Riders,10,4,2,CR Woakes,MC Henriques,caught and bowled,
648026d41f06877f0c983e3a,2017,Sunrisers Hyderabad,Kolkata Knight Riders,13,2,2,SP Narine,DJ Hooda,stumped,"[""RV Uthappa""]"
648026d41f06877f0c983e3a,2017,Sunrisers Hyderabad,Kolkata Knight Riders,14,7,2,CR Woakes,Yuvraj Singh,caught,"[""R Dhawan""]"
648026d41f06877f0c983e3a,2017,Sunrisers Hyderabad,Kolkata Knight Riders,17,1,2,TA Boult,BCJ Cutting,caught,"[""C de Grandhomme""]"
648026d484f2b3a398a4e292,2017,Delhi Daredevils,Kings XI Punjab,6,6,1,KC Cariappa,SV Samson,caught,"[""EJG Morgan""]"
648026d484f2b3a398a4e292,2017,Delhi Daredevils,Kings XI Punjab,7,3,1,VR Aaron,KK Nair,caught,"[""WP Saha""]"
648026d484f2b3a398a4e292,2017,Delhi Daredevils,Kings XI Punjab,11,5,1,MM Sharma,SS Iyer,caught,"[""EJG Morgan""]"
648026d484f2b3a398a4e292,2017,Delhi Daredevils,Kings XI Punjab,12,5,1,AR Patel,SW Billings,caught,"[""DA Miller""]"
648026d484f2b3a398a4e292,2017,Delhi Daredevils,Kings XI Punjab,15,1,1,VR Aaron,RR Pant,caught,"[""EJG Morgan""]"
648026d484f2b3a398a4e292,2017,Delhi Daredevils,Kings XI Punjab,17,5,1,Sandeep Sharma,CH Morris,caught,"[""MM Sharma""]"
648026d484f2b3a398a4e292,2017,Kings XI Punjab,Delhi Daredevils,1,4,2,S Nadeem,M Vohra,lbw,
648026d484f2b3a398a4e292,2017,Kings XI Punjab,Delhi Daredevils,3,2,2,S Nadeem,WP Saha,caught,"[""Z Khan""]"
648026d484f2b3a398a4e292,2017,Kings XI Punjab,Delhi Daredevils,4,4,2,CH Morris,HM Amla,caught,"[""SW Billings""]"
648026d484f2b3a398a4e292,2017,Kings XI Punjab,Delhi Daredevils,9,6,2,PJ Cummins,EJG Morgan,caught,"[""KK Nair""]"
648026d484f2b3a398a4e292,2017,Kings XI Punjab,Delhi Daredevils,10,3,2,A Mishra,GJ Maxwell,caught,"[""SW Billings""]"
648026d484f2b3a398a4e292,2017,Kings XI Punjab,Delhi Daredevils,13,4,2,CJ Anderson,DA Miller,lbw,
648026d484f2b3a398a4e292,2017,Kings XI Punjab,Delhi Daredevils,18,5,2,PJ Cummins,MM Sharma,bowled,
648026d484f2b3a398a4e292,2017,Kings XI Punjab,Delhi Daredevils,19,1,2,CH Morris,KC Cariappa,bowled,
648026d484f2b3a398a4e292,2017,Kings XI Punjab,Delhi Daredevils,19,6,2,CH Morris,AR Patel,bowled,
648026d4b9529e3c04b0b07b,2017,Gujarat Lions,Mumbai Indians,0,3,2,MJ McClenaghan,DR Smith,caught,"[""N Rana""]"
648026d4b9529e3c04b0b07b,2017,Gujarat Lions,Mumbai Indians,11,1,2,Harbhajan Singh,SK Raina,caught,"[""RG Sharma""]"
